,Disease,Symptom
0,hyperglycemia,"['sore to touch', 'pruritus', 'feeling strange', 'pustule', 'cushingoid facies', 'cushingoid\xa0habitus', 'decreased body weight', 'mood depressed', 'estrogen use', 'wheezing', 'ascites', 'seizure']"
1,HIV,"['fever', 'night sweat', 'spontaneous rupture of membranes', 'cough', '', 'decreased body weight', 'chill', 'diarrhea', 'pleuritic pain', 'patient non compliance', 'tachypnea', 'productive cough', 'muscle hypotonia', 'hypotonic', 'feeling suicidal']"
2,respiratory failure,"['hemiplegia', 'snore', 'unresponsiveness', 'productive cough', 'dyspnea', 'tachypnea', 'hyperkalemia', 'hypokinesia', 'sinus rhythm', 'general unsteadiness', 'bruit', 'consciousness clear', 'shortness of breath', 'lesion', 'redness']"
3,malignant neoplasms,"['pulsus\xa0paradoxus', 'gravida 10', 'mass of body structure', 'lesion', 'heartburn', 'night sweat', 'thicken', 'chill', 'decreased translucency', 'pain abdominal', 'dullness', 'food intolerance', 'distress respiratory', 'hypotension']"
4,spasm bronchial,"['shortness of breath', 'scar tissue', 'apyrexial', 'no known drug allergies', 'pain', 'productive cough', 'throat sore', 'dyspnea', 'chest tightness', 'hypoxemia', 'tachypnea', 'sensory discomfort', 'fever', 'vomiting', 'rhonchus', 'hemiplegia', 'fremitus']"
5,decubitus ulcer,"['systolic murmur', 'frail', 'fever']"
6,sepsis (invertebrate),"['fever', 'distress respiratory', 'hypotension', 'tachypnea', 'chill', 'lethargy', 'bradycardia', 'breech presentation', 'cyanosis', 'spontaneous rupture of membranes', 'haemorrhage', 'unresponsiveness', 'rale', 'apyrexial']"
7,delusion,"['loose associations', 'giddy mood', 'feeling hopeless', 'agitation', 'hallucinations auditory', 'irritable mood', 'sleeplessness', 'neologism', 'homicidal thoughts', 'disturbed family', 'worry', 'decompensation', 'verbally abusive behavior', 'catatonia', 'suicidal', 'terrify', 'blackout', 'weepiness', 'impaired cognition', 'irritable mood', 'agitation']"
8,myocardial infarction,"['pain chest', 'st segment elevation', 'sweat', 'sweating increased', 'shortness of breath', 'st segment depression', 'hypokinesia', 'angina pectoris', 'pressure chest', 't wave inverted', 'orthopnea', 'rale', 'chest tightness', 'presence of q wave', 'palpitation', 'dyspnea', 'chest discomfort', 'bradycardia', 'syncope']"
9,embolism pulmonary,"['shortness of breath', 'hypoxemia', 'tachypnea', 'hematocrit decreased', 'pain chest', 'dyspnea', 'pleuritic pain', 'neck stiffness', 'yellow sputum', 'productive cough', 'cicatrisation', 'unresponsiveness', 'distress respiratory', 'wheezing', 'apyrexial', 'non-productive cough']"
10,cholelithiasis,"['vomiting', 'nausea', 'pain abdominal', 'pain', 'cushingoid facies', 'cushingoid\xa0habitus', 'ascites', 'thicken', 'sore to touch', 'diarrhea', 'apyrexial', 'palpitation']"
11,pancytopenia,"['hypoproteinemia', 'fatigue', 'haemorrhage', 'fatigability', 'cushingoid facies', 'cushingoid\xa0habitus', 'stool color yellow', 'colic abdominal']"
12,Alzheimer's disease,"['drool', 'agitation', 'nightmare', 'rhonchus', 'consciousness clear', 'pin-point pupils', 'bedridden', 'bedridden', 'frail', 'tremor resting', 'hyperkalemia', 'facial paresis', 'groggy', 'muscle twitch', 'wheelchair bound', 'tremor', 'cough', 'fever']"
13,endocarditis,"['pleuritic pain', 'thicken', 'myalgia', 'apyrexial', 'night sweat', 'flare', 'shortness of breath', 'orthopnea', 'abscess bacterial', 'hypotension', 'cough', 'metastatic lesion', 'breath sounds decreased', 'decreased body weight', 'decreased body weight', 'pulsus\xa0paradoxus', 'hypokinesia']"
14,suicide attempt,"['hallucinations auditory', 'sleeplessness', 'suicidal', 'motor retardation', 'weepiness', 'unable to concentrate', 'todd paralysis', 'worry', 'fatigue', 'tremor', 'alcoholic withdrawal symptoms', 'agitation', 'unresponsiveness', 'blackout', 'withdraw', 'difficulty', 'irritable mood', 'sensory discomfort', 'drowsiness', 'formication', 'unconscious state', 'fever', 'cough']"
15,accident cerebrovascular,"['dysarthria', 'asthenia', 'speech slurred', 'facial paresis', 'hemiplegia', 'unresponsiveness', 'seizure', 'numbness']"
16,psychotic disorder,"['suicidal', 'hallucinations auditory', 'feeling suicidal', 'hallucinations visual', 'motor retardation', 'blackout', 'verbal auditory hallucinations', 'feeling hopeless', 'irritable mood', 'agitation', 'tremor', 'catatonia', 'weepiness', 'homelessness', 'sleeplessness', 'withdraw', 'energy increased', 'intoxication', 'worry', 'behavior hyperactive', 'patient non compliance', 'mood depressed', 'terrify', 'nightmare', 'consciousness clear']"
17,pyelonephritis,"['fever', 'pain', 'urgency of\xa0micturition', 'hematuria', 'vomiting', 'chill', 'diarrhea', 'nausea', 'pain abdominal', 'myalgia', 'fever', 'chill']"
18,emphysema pulmonary,"['behavior showing increased motor activity', 'scar tissue', 'dyspnea on exertion', 'coordination abnormal', 'myalgia', 'hypercapnia', 'clammy skin', 'has religious belief', 'room spinning', 'moan', 'night sweat', 'cachexia', 'symptom aggravating factors', 'dyspnea', 'rale', 'flushing', 'painful swallowing', 'arthralgia', 'choke', 'tenesmus', 'constipation']"
19,neutropenia,"['transaminitis', 'splenomegaly', 'night sweat', 'apyrexial', 'lesion', 'snuffle', 'chill', 'cough', 'monoclonal', 'hypocalcemia result', 'oliguria', 'rhd positive', 'distress respiratory']"
20,fibroid tumor,"['para 2', 'haemorrhage', 'abortion', 'intermenstrual heavy bleeding', 'muscle hypotonia', 'hypotonic', 'previous pregnancies 2', 'shortness of breath', 'fever', 'heartburn', 'primigravida', 'abnormally hard consistency', 'proteinemia']"
21,hypoglycemia,"['unresponsiveness', 'hypothermia, natural', 'incoherent', 'qt interval prolonged', 'lameness', 'claudication', 'unconscious state', 'clammy skin', 'polyuria', 'distress respiratory', 'hypotension']"
22,depression mental,"['feeling suicidal', 'suicidal', 'hallucinations auditory', 'feeling hopeless', 'weepiness', 'sleeplessness', 'motor retardation', 'irritable mood', 'blackout', 'mood depressed', 'hallucinations visual', 'worry', 'agitation', 'tremor', 'intoxication', 'verbal auditory hallucinations', 'energy increased', 'difficulty', 'nightmare', 'unable to concentrate', 'homelessness']"
23,neoplasm metastasis,"['thicken', 'tumor cell invasion', 'metastatic lesion', 'pain neck', 'lung nodule', 'pain', 'pain abdominal', 'food intolerance', 'mass of body structure', 'atypia']"
24,epilepsy,"['seizure', 'hypometabolism', 'aura', 'muscle twitch', 'drowsiness', 'tremor', 'unresponsiveness', 'hemiplegia', 'myoclonus', 'gurgle', 'sleepy', 'lethargy', 'wheelchair bound']"
25,chronic kidney failure,"['vomiting', 'orthopnea', 'hyperkalemia', 'oliguria', 'jugular venous distention', 'nausea', 'shortness of breath', 'mental status changes', 'diarrhea', 'asthenia', 'chest tightness', 'malaise', 'chill', 'rale', 'fever', 'pleuritic pain', 'apyrexial', 'guaiac positive', 'swelling', 'catatonia', 'unresponsiveness', 'yellow sputum']"
26,confusion,"['seizure', 'enuresis', 'lethargy', 'speech slurred', 'fall', 'consciousness clear', 'mental status changes', 'asterixis', 'unconscious state', 'agitation', 'muscle twitch', 'asthenia', 'sleepy', 'dizziness', 'headache', 'dysarthria', 'lightheadedness', 'tremor', 'hyponatremia', 'unresponsiveness']"
27,insufficiency renal,"['shortness of breath', 'hyperkalemia', 'orthopnea', 'rale', 'urgency of\xa0micturition', 'ascites', 'guaiac positive', 'asthenia', 'apyrexial', 'mental status changes', 'dyspnea', 'difficulty', 'diarrhea', 'hypotension', 'breath sounds decreased', 'swelling', 'hypokinesia']"
28,ketoacidosis diabetic,"['polyuria', 'vomiting', 'nausea', 'pain abdominal', 'milky', 'feeling strange', 'gurgle', 'nervousness', 'abdominal tenderness', 'regurgitates after swallowing', 'vision blurred', 'urinary hesitation', 'diarrhea', 'seizure', 'aura']"
29,exanthema,"['fever', 'pruritus', 'macule', 'lesion', 'redness', 'headache', 'apyrexial', 'arthralgia', 'swelling', 'erythema', 'photophobia', 'chill', 'scratch marks', 'pain', 'painful swallowing']"
30,systemic infection,"['fever', 'distress respiratory', 'hypotension', 'tachypnea', 'chill', 'lethargy', 'bradycardia', 'breech presentation', 'cyanosis', 'spontaneous rupture of membranes', 'haemorrhage', 'unresponsiveness', 'rale', 'apyrexial']"
31,chronic obstructive airway disease,"['shortness of breath', 'wheezing', 'cough', 'dyspnea', 'distress respiratory', 'sputum purulent', 'hypoxemia', 'hypercapnia', 'patient non compliance', 'chest tightness']"
32,personality disorder,"['nightmare', 'feeling hopeless', 'transsexual', 'hallucinations auditory', 'irritable mood', 'sleeplessness', 'agitation', 'weepiness', 'mood depressed', 'scratch marks', 'nausea and vomiting', 'extreme exhaustion', 'side pain', 'worry', 'enuresis', 'homelessness', 'nervousness', 'ascites', 'pruritus']"
33,stenosis aortic valve,"['dyspnea on exertion', 'syncope', 'chest discomfort', 'systolic murmur', 'sciatica', 'angina pectoris', 'pain chest', 'frothy sputum', 'bradycardia', 'shortness of breath', 'pain']"
34,failure kidney,"['orthopnea', 'oliguria', 'slowing of urinary stream', 'extreme exhaustion', 'unresponsiveness', 'hypotension', 'enuresis', 'shortness of breath', 'haemorrhage', 'prostatism', 'no status change', 'bedridden', 'bedridden', 'fatigue']"
35,hypercholesterolemia,"['pain', 'pain chest', 'sweat', 'sweating increased', 'nonsmoker', 'pressure chest', 'syncope', 'numbness', 'chest discomfort', 'shortness of breath', 'st segment depression', 'worry', 't wave inverted', 'bradycardia', 'dyspnea']"
36,hemiparesis,"['dysarthria', 'paresis', 'asthenia', 'aphagia', 'seizure', 'speech slurred', 'focal seizures', 'hemiplegia', 'abnormal sensation', 'unresponsiveness', 'stupor', 'drowsiness', 'sleepy', 'fremitus', ""Stahli's line"", 'stinging sensation', 'paralyse', 'clonus', 'facial paresis']"
37,primary malignant neoplasm,"['pain', 'mass of body structure', 'lesion', 'cushingoid facies', 'cushingoid\xa0habitus', 'emphysematous change', 'decreased body weight', 'ascites', 'hoarseness', 'thicken', 'hematuria']"
38,diabetes,"['polyuria', 'polydypsia', 'shortness of breath', 'pain chest', 'asthenia', 'nausea', 'orthopnea', 'rale', 'sweat', 'sweating increased', 'unresponsiveness', 'mental status changes', 'vertigo', 'vomiting', 'labored breathing']"
39,deglutition disorder,"['paresthesia', 'titubation', 'dysarthria', 'painful swallowing', 'hoarseness', 'stridor', 'spasm', 'asthenia', 'dysdiadochokinesia', 'ataxia', 'achalasia', 'decreased body weight', 'stiffness', 'lesion', 'side pain']"
40,ulcer peptic,"['pain abdominal', 'paraparesis', 'nausea', 'vomiting', 'polymyalgia', 'out of breath', 'pain chest', 'hemiplegia', 'gurgle', 'hunger', 'apyrexial', 'nervousness']"
41,chronic alcoholic intoxication,"['tremor', 'hallucinations auditory', 'suicidal', 'hoard', 'irritable mood', 'feeling hopeless', 'feeling suicidal', 'neologism', 'seizure', 'homelessness', 'sleeplessness', 'unconscious state', 'panic', 'breath sounds decreased', 'shortness of breath']"
42,sickle cell anemia,"['breakthrough pain', 'pain back', 'pain', 'shortness of breath', 'snuffle', 'pain chest', 'pain abdominal', 'hepatosplenomegaly', 'green sputum', 'apyrexial', 'headache']"
43,hypertensive disease,"['pain chest', 'shortness of breath', 'dizziness', 'asthenia', 'fall', 'syncope', 'vertigo', 'sweat', 'sweating increased', 'palpitation', 'nausea', 'angina pectoris', 'pressure chest']"
44,malignant neoplasms,"['pain', 'mass of body structure', 'lesion', 'cushingoid facies', 'cushingoid\xa0habitus', 'emphysematous change', 'decreased body weight', 'ascites', 'hoarseness', 'thicken', 'hematuria']"
45,effusion pericardial,"['pericardial friction rub', 'dyspnea', 'shortness of breath', 'hemodynamically stable', 'cardiomegaly', 'hypotension', 'sputum purulent', 'facial paresis', 'pain', 'oliguria', 'blackout', 'intoxication']"
46,tricuspid valve insufficiency,"['shortness of breath', 'pain', 'vomiting', 'nausea', 'bradycardia', 'pain abdominal', 'fever', 'cicatrisation', 'mediastinal shift', 'impaired cognition']"
47,hernia hiatal,"['pain abdominal', 'fatigability', 'prodrome', 'vomiting', 'nausea', 'myalgia', 'hyponatremia', 'sore to touch', 'general discomfort', 'dyspnea on exertion', 'asterixis', 'guaiac positive', 'numbness of hand', 'headache', 'photophobia']"
48,overload fluid,"['rale', 'jugular venous distention', 'hyperkalemia', 'orthopnea', 'shortness of breath', 'drowsiness', 'sleepy', 'weight gain', 'hypokalemia', 'hypotension', 'swelling', 'distended abdomen']"
49,bronchitis,"['cough', 'wheezing', 'shortness of breath', 'chest tightness', 'fever', 'throat sore', 'productive cough', 'hepatosplenomegaly', 'night sweat', 'haemoptysis', 'labored breathing', 'snuffle', 'hacking cough', 'dyspnea', 'chill', 'stridor', 'decreased body weight']"
50,depressive disorder,"['feeling suicidal', 'suicidal', 'hallucinations auditory', 'feeling hopeless', 'weepiness', 'sleeplessness', 'motor retardation', 'irritable mood', 'blackout', 'mood depressed', 'hallucinations visual', 'worry', 'agitation', 'tremor', 'intoxication', 'verbal auditory hallucinations', 'energy increased', 'difficulty', 'nightmare', 'unable to concentrate', 'homelessness']"
51,peripheral vascular disease,"['shortness of breath', 'rest pain', 'angina pectoris', 'unresponsiveness', 'hyperkalemia', 'sinus rhythm', 'labored breathing', 'dyspnea', 'sore to touch', 'anorexia', 'sleepy']"
52,bacteremia,"['fever', 'chill', 'flushing', 'unresponsiveness', 'indifferent mood', 'urinoma', 'vomiting', 'distended abdomen', 'hypoalbuminemia', 'pustule', 'prostatism', 'diarrhea', 'abdominal tenderness', 'pleuritic pain', 'decreased translucency', 'pallor']"
53,malignant tumor of colon,"['lesion', 'prostatism', 'constipation', 'general discomfort', 'diarrhea', 'pain abdominal', 'urinary hesitation', 'dizzy spells', 'shooting pain', 'bradycardia', 'vomiting', 'systolic ejection murmur', 'nausea', 'hyperemesis', 'polydypsia']"
54,anemia,"['chill', 'guaiac positive', 'monoclonal', 'ecchymosis', 'tumor cell invasion', 'haemorrhage', 'pallor', 'asthenia', 'fatigue', 'heme positive', 'pain back', 'orthostasis', 'hyponatremia', 'dizziness', 'shortness of breath', 'pain', 'rhonchus', 'arthralgia', 'swelling', 'transaminitis']"
55,candidiasis,"['diarrhea', 'throat sore', 'decreased body weight', 'chill', 'headache', 'abdominal tenderness', 'patient non compliance', 'photophobia', 'night sweat', 'painful swallowing', 'poor dentition', 'transaminitis', 'non-productive cough', 'adverse reaction', 'adverse effect', 'abdominal bloating']"
56,thrombus,"['hypokinesia', 'anorexia', 'hypertonicity', 'shortness of breath', 'hypoalbuminemia', 'pruritus', 'sore to touch', 'hemodynamically stable', 'facial paresis', 'vomiting', 'stool color yellow']"
57,cellulitis,"['erythema', 'pain', 'swelling', 'redness', 'fever', 'abscess bacterial', 'patient non compliance', 'hypesthesia', 'hyperacusis', 'pruritus', 'pain chest', 'scratch marks', 'chill', 'sore to touch']"
58,kidney failure acute,"['hyperkalemia', 'hypotension', 'hypocalcemia result', 'oliguria', 'hemodynamically stable', 'asthenia', 'hypothermia, natural', 'diarrhea', 'haemorrhage', 'unresponsiveness']"
59,dehydration,"['fever', 'diarrhea', 'vomiting', 'hypotension', 'nausea', 'lightheadedness', 'unwell', 'mental status changes', 'anorexia', 'asthenia', 'sensory discomfort', 'syncope', 'lethargy', 'dizziness', 'syncope', 'blackout', 'history of - blackout']"
60,malignant neoplasm of prostate,"['hematuria', 'dysesthesia', 'asthenia', 'polymyalgia', 'passed stones', 'pleuritic pain', 'guaiac positive', 'rale', 'breath sounds decreased', 'urge incontinence', 'dysuria', 'diarrhea', 'vertigo', 'qt interval prolonged', 'ataxia', 'paresis', 'hemianopsia homonymous', 'tumor cell invasion', 'hemodynamically stable', 'mass of body structure', 'rhonchus', 'orthostasis', 'decreased body weight']"
61,cirrhosis,"['ascites', 'fall', 'splenomegaly', 'pruritus', 'pain abdominal', 'tumor cell invasion', 'distended abdomen', 'lesion', 'hemodynamically stable', 'guaiac positive', 'sore to touch', 'bleeding of vagina']"
62,neuropathy,"['asthenia', 'numbness', 'nausea and vomiting', 'awakening early', 'hydropneumothorax', 'superimposition', 'fatigability', 'tenesmus', 'pain', 'slowing of urinary stream']"
63,gastroesophageal reflux disease,"['pain', 'pain chest', 'burning sensation', 'hyponatremia', 'satiety early', 'throbbing sensation quality', 'chest tightness', 'sensory discomfort', 'presence of q wave', 'nausea', 'general discomfort', 'constipation', 'palpitation', 'pain abdominal', 'heartburn', 'sweat', 'sweating increased', 'asthenia']"
64,migraine disorders,"['ambidexterity', 'vomiting', 'dizziness', 'numbness', 'nausea', 'fever', 'splenomegaly']"
65,osteomyelitis,"['pain', 'redness', 'prostate tender', 'fever', 'difficulty passing urine', 'sore to touch', 'swelling', 'apyrexial', 'erythema', 'abscess bacterial', 'pain foot', 'urinary hesitation']"
66,failure heart,"['orthopnea', 'fatigue', 'dyspnea on exertion', 'dyspnea', 'shortness of breath', 'pansystolic murmur', 'jugular venous distention', 'systolic ejection murmur', 'hypotension', 'angina pectoris', 'hypokinesia']"
67,adenocarcinoma,"['mass of body structure', 'lesion', 'decreased body weight', 'constipation', 'fremitus', 'decreased stool caliber', 'satiety early', 'hematochezia', 'egophony', 'pain', 'cicatrisation', 'scar tissue', 'pain abdominal']"
68,diverticulosis,"['fecaluria', 'constipation', 'abscess bacterial', 'heme positive', 'lightheadedness', 'diarrhea', 'haemorrhage', 'pain', 'projectile vomiting', 'pneumatouria', 'cystic lesion', 'anorexia', 'nausea', 'feeling suicidal', 'feeling hopeless']"
69,gout,"['hot flush', 'pain', 'redness', 'swelling', 'erythema', 'emphysematous change', 'sore to touch', 'hypokinesia', 'ascites', 'patient non compliance']"
70,lymphoma,"['lesion', 'fever', 'welt', 'transaminitis', 'decreased body weight', 'ataxia', 'tinnitus', 'hydropneumothorax', 'superimposition', 'haemoptysis', 'fatigue', 'tired', 'polydypsia', 'difficulty passing urine']"
71,arthritis,"['pain', 'hemodynamically stable', 'sleeplessness', 'asthenia', 'syncope', 'swelling', 'atypia', 'general unsteadiness', 'shortness of breath', 'distended abdomen']"
72,diverticulitis,"['pain abdominal', 'abscess bacterial', 'dullness', 'red blotches', 'diarrhea', 'sore to touch', 'dysuria', 'pain', 'vomiting', 'sinus rhythm', 'colic abdominal', 'apyrexial', 'abdominal tenderness', 'fever', 'unsteady gait', 'thicken', 'urgency of\xa0micturition', 'anorexia', 'monoclonal', 'constipation']"
73,neoplasm,"['mass of body structure', 'lesion', 'pain chest', 'hematuria', 'tumor cell invasion', 'pain', 'anosmia', 'thicken', 'metastatic lesion', 'food intolerance', 'decreased body weight', 'night sweat', 'hemianopsia homonymous', 'satiety early', 'pain abdominal', 'headache']"
